,store_location,cabelas_county,cabelas_state
87,"115 Cabela Drive Sidney, NE 69162",cheyenne county,Nebraska
88,"8200 Dean Martin Dr Las Vegas, NV 89139",clark county,Nevada
89,"8650 Boomtown Garson Road Verdi, NV 89439",washoe county,Nevada
90,"2 Commerce Dr Hooksett, NH 03106",merrimack county,New Hampshire
91,"30 N Christopher Columbus Blvd Atlantic City, NJ 08401",atlantic county,New Jersey
92,"5151 Lang Ave NE Albuquerque, NM 87109",bernalillo county,Nebraska
93,"1579 Clark St Rd Auburn, NY 13021",cayuga county,New York
94,"2003 Walden Ave Cheektowaga, NY 14225",erie county,New York
95,"710 Horatio St Utica, NY 13502",oneida county,New York
96,"801 Bass Pro Lane Cary, NC 27513",wake county,North Carolina
97,"8181 Concord Mills Blvd Concord, NC 28027",cabarrus county,North Carolina
98,"201 Cabela Drive Garner, NC 27529",wake county,North Carolina
99,"35685 Chester Road Avon, OH 44011",lorain county,Ohio
100,"5500 Cornerstone North Blvd Centerville, OH 45440",montgomery county,Ohio
101,"300 Cincinnati Mills Dr Cincinnati, OH 45240",hamilton county,Ohio
102,"1650 Gemini Pl Columbus, OH 43240",delaware county,Ohio
103,"10000 Bass Pro Blvd Rossford, OH 43460",wood county,Ohio
104,"7250 Cabela Drive West Chester, OH 45069",tuscarawas county,Ohio
105,"101 Bass Pro Dr Broken Arrow, OK 74012",tulsa county,Oklahoma
106,"1200 W Memorial Rd Oklahoma City, OK 73114",oklahoma county,Oklahoma
107,"200 Bass Pro Dr Oklahoma City, OK 73104",tulsa county,Oklahoma
108,"2800 Gateway Street Springfield, OR 97477",lane county,Oregon
109,"7555 Southwest Nyberg Street Tualatin, OR 97062",washington county,Oregon
110,"100 Cabela Drive Hamburg, PA 19526",berks county,Pennsylvania
111,"3501 Paxton St Harrisburg, PA 17111",dauphin county,Pennsylvania
112,"1000 Cabelas Drive Fort Mill, SC 29708",york county,South Carolina
113,"1025 Woodruff Road Greenville, SC 29607",greenville county,South Carolina
114,"10177 North Kings Hwy Myrtle Beach, SC 29572",horry county,South Carolina
115,"601 Cabela Drive Mitchell, SD 57301",davison county,South Dakota
116,"3231 E Mall Dr Rapid City, SD 57701",pennington county,South Dakota
117,"1 Bass Pro Dr Bristol, TN 37620",sullivan county,Tennessee
118,"1000 Bass Pro Dr Chattanooga, TN 37412",hamilton county,Tennessee
119,"3629 Outdoor Sportsmans Place Kodak, TN 37764",sevier county,Tennessee
120,"1 Bass Pro Dr Memphis, TN 38105",shelby county,Tennessee
121,"6140 Macon Rd Memphis, TN 38134",shelby county,Tennessee
122,"323 Opry Mills Dr Nashville, TN 37214",davidson county,Tennessee
123,"1 Cabela Drive Allen, TX 75002",collin county,Texas
124,"15570 South Interstate 35 Frontage Road Buda, TX 78610",travis county,Texas
125,"6450-10 Desert Blvd. North El Paso, TX 79912",el paso county,Texas
126,"12901 Cabelas Drive Fort Worth, TX 76177",tarrant county,Texas
127,"5001 Bass Pro Dr Garland, TX 75043",dallas county,Texas
128,"2501 Bass Pro Dr Grapevine, TX 76051",tarrant county,Texas
129,"101 Bass Pro Dr Harlingen, TX 78552",cameron county,Texas
130,"5000 Katy Mills Circle Katy, TX 77494",fort bend county,Texas
131,"2421 Gulf Fwy S League City, TX 77573",galveston county,Texas
132,"3030 W Loop 289 Lubbock, TX 79407",lubbock county,Texas
133,"1000 Bass Pro Dr Pearland, TX 77047",harris county,Texas
134,"200 Bass Pro Dr Round Rock, TX 78665",williamson county,Texas
135,"17907 IH-10 West San Antonio, TX 78257",bexar county,Texas
136,"2700 Marketplace Drive Waco, TX 76711",mclennan county,Texas
137,"391 N Cabela Dr Farmington, UT 84025",davis county,Utah
138,"2502 West Cabela's Boulevard Lehi, UT 84043",utah county,Utah
139,"11550 Lakeridge Parkway Ashland, VA 23005",hanover county,Virginia
140,"5291 Wellington Branch Dr. Gainesville, VA 20155",prince william county,Virginia
141,"1972 Power Plant Parkway Hampton, VA 23666",newport news city,Virginia
