,store_location,cinemarks_county,cinemarks_state
151,"851 S. Boulder Highway, Henderson, NV 89015",clark county,Nevada
152,"9090 Alta Drive, Las Vegas, NV 89144",clark county,Nevada
153,"9777 South Las Vegas Blvd., Las Vegas, NV 89183",clark county,Nevada
154,"4500 Tropicana Avenue, Las Vegas, NV 89103",clark county,Nevada
155,"5111 Boulder Highway, Las Vegas, NV 89122",clark county,Nevada
156,"4949 N. Rancho Dr., Las Vegas, NV 89130",clark county,Nevada
157,"2040 Century Way, Reno, NV 89502",washoe county,Nevada
158,"11 N Sierra St, Reno, NV 89501",washoe county,Nevada
159,"13965 South Virginia Street, Reno, NV 89511",washoe county,Nevada
160,"2500 W. State St., Alliance, OH 44601",stark county,Ohio
161,"4489 Glengarry Drive, Beavercreek, OH 45440",greene county,Ohio
162,"7401 Market Street, Boardman, OH 44512",mahoning county,Ohio
163,"1234 North Main Street, Bowling Green, OH 43402",wood county,Ohio
164,"5870 Harrison Ave., Cincinnati, OH 45248",hamilton county,Ohio
165,"3025 Disney St., Cincinnati, OH 45209",hamilton county,Ohio
166,"1071 Gemini Place, Columbus, OH 43240",delaware county,Ohio
167,"2570 Bethel Road, Columbus, OH 43220",franklin county,Ohio
168,"2925 State Road, Cuyahoga Falls, OH 44223",summit county,Ohio
169,"323 Stoneridge Lane, Gahanna, OH 43230",franklin county,Ohio
170,"7737 Wayne Town Boulevard, Huber Heights, OH 45424",montgomery county,Ohio
171,"1611 River Valley Circle S, Lancaster, OH 43130",fairfield county,Ohio
172,"8161 Macedonia Commons Bl, Macedonia, OH 44056",summit county,Ohio
173,"2355 Walker Lake Road, Mansfield, OH 44903",richland county,Ohio
174,"2300 Village Dr. West Maumee, OH 43537",lucas county,Ohio
175,"500 Rivers Edge, Milford, OH 45150",clermont county,Ohio
176,"4720 Mega Street N, WNorth Canton, OH 44720",stark county,Ohio
177,"6284 Dressler Rd. Nw, North Canton, OH 44720",stark county,Ohio
178,"2005 Hollenbeck Drive, Perrysburg, OH 43551",wood county,Ohio
179,"1020 Garbry Road, Piqua, OH 45356",miami county,Ohio
180,"4314 Milan Road, Sandusky, OH 44870",erie county,Ohio
181,"17450 Southpark Center, Strongsville, OH 44136",cuyahoga county,Ohio
