,store_location,nordstroms_county,nordstroms_state
91,"140 Orland Park Place Orland Park, IL 60462",cook county,Illinois
92,"2692 Madison Road Cincinnati, OH 45208",hamilton county,Ohio
93,"9625 Skokie Boulevard Skokie, IL 60077",cook county,Illinois
94,"101 E Chicago Ave Chicago, IL 60611",cook county,Illinois
95,"1585 S Brentwood Boulevard St. Louis, MO 63144",saint louis county,Missouri
96,"4036 E 82nd Street Indianapolis, IN 46250",marion county,Indiana
97,"9540 Quivira Road Lenexa, KS 66215",johnson county,Kansas
98,"100 Highlands Boulevard Drive Manchester, MO 63011",saint louis county,Missouri
99,"901 N Milwaukee Avenue, Unit 600 Vernon Hills, IL 60061",lake county,Illinois
100,"80 S 8th Street, Minneapolis, MN 55402",hennepin county,Minnesota
101,"315 Radio Drive Woodbury, MN 55125",washington county,Minnesota
102,"100 Yorktown Shopping Center Lomard, IL 60148",dupage county,Illinois
103,"4250 N Harlem Avenue Norridge, IL 60706",cook county,Illinois
104,"185 US Highway 41 Schereville, IN 46375",lake county,Indiana
105,"3547 Washtenaw Avenue Ann Arbor, MI 48104",washtenaw county,Michigan
106,"4700 Baldwin Road, Auburn Hills, MI 48326",oakland county,Michigan
107,"1551 N Sheffield Avenue Chicago, IL 60642",cook county,Illinois
108,"2511 W 75th Street Naperville, IL 60540",dupage county,Illinois
109,"2155 W 22nd Street Oak Brook, IL 60523",dupage county,Illinois
110,"12745 Elm Creek Boulevard Maple Grove, MN 55369",hennepin county,Minnesota
111,"11500 W Burleigh Street Wauwautosa, WI 53222",milwaukee county,Wisconsin
112,"3615 28th Street Southeast Grand Rapids, MI 49512",kent county,Michigan
113,"24 N State Street Chicago, IL 60602",cook county,Illinois
114,"8344 Highway 7 St. Louis Park, MN 55426",saint louis county,Minnesota
115,"3736 Easton Market Columbus, OH 43219",franklin county,Ohio
116,"30121 Detroit Road Westlake, OH 44145",cuyahoga county,Ohio
117,"3702 W Dublin Granville Road Columbus, OH 43235",franklin county,Ohio
118,"33 Greene Boulevard Beavercreek, OH 45440",greene county,Ohio
119,"1118 S Canal Street Chicago, IL 60607",cook county,Illinois
120,"4600 Shelbyville Road, Louisville, KY 40207",jefferson county,Kentucky
121,"2424 N Mayfair Road Wauwautosa, WI 53226",milwaukee county,Wisconsin
122,"12441 Wayzata Boulevard Minnetonka, MN 55305",hennepin county,Minnesota
123,"320 S Jordan Creek Parkway West Des Moines, IA 50266",dallas county,Iowa
124,"20393 N Rand Road, Kildeer, IL 60074",lake county,Illinois
125,"7349 W Towne Way Madison, WI 53719",dane county,Wisconsin
126,"1808 S Randall Road Algonquin, IL 60102",mchenry county,Illinois
127,"43839 W Oaks Drive Novi, MI 48377",oakland county,Michigan
128,"5220 Fashion Outlets Way, Rosemont, IL 60018",cook county,Illinois
129,"3333 Bristol Street Costa Mesa, CA 92626",orange county,California
130,"500 Brea Mall Way Brea, CA 92821",orange county,California
131,"300 Los Cerritos Center Cerritos, CA 90703",los angeles county,California
132,"100 The Shops at Mission Viejo Mission Viejo, CA 92691",orange county,California
133,"3849 Grand Avenue Chino, CA 91710",san bernardino county,California
134,"2345 E Imperial Highway Brea, CA 92821",orange county,California
135,"800 Spectrum Center Drive Irvine, CA 92618",orange county,California
136,"44449 Town Center Way Palm Desert, CA 92260",riverside county,California
137,"4260 E Carons Street Long Beach, CA 90808",los angeles county,California
138,"901 Newport Center Drive Newport Beach, CA 92660",orange county,California
139,"1301 E 19th Street Upland, CA 91784",san bernardino county,California
140,"20 City Boulevard West Orange, CA 92868",orange county,California
141,"23541 Calle De La Louisa Laguna Hills, CA 92653",orange county,California
142,"901 S Coast Drive Costa Mesa, CA 92626",orange county,California
143,"102 Caruso Avenue Glendale, CA 91210",los angeles county,California
144,"21725 Victory Boulevard Canoga Park, CA 91303",los angeles county,California
145,"21500 Hawthorne Boulevard Torrance, CA 90503",los angeles county,California
146,"400 S Baldwin Avenue Arcadia, CA 91007",los angeles county,California
147,"6000 Sepulveda Boulevard Culver City, CA 90230",los angeles county,California
148,"346 W Hillcrest Drive Thousand Oaks, CA 91360",ventura county,California
149,"189 The Grove Drive Los Angeles, CA 90036",los angeles county,California
150,"227 N Glendale Avenue Glendale, CA 91206",los angeles county,California
151,"100 N La Cienega Boulevard Los Angeles, CA 90048",los angeles county,California
152,"3363 E Foothill Boulevard Pasadena, CA 91109",los angeles county,California
153,"220 Broadway Santa Monica, CA 90401",los angeles county,California
154,"1601 N Victory Place Burbank, CA 91504",los angeles county,California
155,"7532 Edinger Ave Huntington Beach, CA92647",orange county,California
156,"3635 Riverside Plaza Drive, Riverside, CA 92506",riverside county,California
157,"21490 Victory Boulevard Woodland Hills, CA 91367",los angeles county,California
158,"1415 Plaza Drive West Covina, CA 91790",los angeles county,California
159,"6997 Friars Road San Diego, CA 92108",san diego county,California
160,"4401 La Jolla Village Drive San Diego, CA 92122",san diego county,California
161,"3010 Plaza Bonita Road, National City, CA 91950",san diego county,California
162,"10650 Stockdale Highway, Bakersfield, CA 93311",kern county,California
163,"2073 E Camelback Road Phoenix, AZ 85016",maricopa county,Arizona
164,"40450 Winchester Road Temecula, CA 92591",riverside county,California
165,"11940 Carmel Mtn Road, San Diego, CA 92128",san diego county,California
166,"1517 Hawthorne Boulevard Redondo Beach, CA 90278",los angeles county,California
167,"2310 Park Center Drive Las Vegas, NV 89135",clark county,Nevada
168,"261 Esplanade Drive Oxnard, CA 93033",ventura county,California
169,"8889 Gateway Boulevard West, El Paso, TX 79925",el paso county,Texas
170,"4750 E Mills Circle Ontario, CA 91764",san bernardino county,California
171,"579 N Stephanie Street, Henderson, NV 89014",clark county,Nevada
172,"2620 W Chandler Boulevard Chandler, AZ 85224",maricopa county,Arizona
173,"1640 Camino Del Rio North San Diego, CA 92108",san diego county,California
174,"16245 N Scottsdale Road Scottsdale, AZ 85254",maricopa county,Arizona
175,"7055 E Camelback Road Scottsdale, AZ 85251",maricopa county,Arizona
176,"173 S Las Posas Road San Marcos, CA 92069",san diego county,California
177,10250 Santa Monica Boulevard Dept 3 Los Angeles CA 90067,los angeles county,California
178,"3200 Las Vegas Boulevard South Las Vegas, NV 89109",clark county,Nevada
179,"7535 W Bell Road Peoria, AZ 85382",maricopa county,Arizona
180,"4320 N Oracle Road Tucson, AZ 85705",pima county,Arizona
181,"27651 San Bernardino Avenue Redlands, CA 92374",san bernardino county,California
182,"145 W Hillcrest Drive Thousand Oaks, CA 91360",ventura county,California
183,"130 Hillsdale Shopping Center San Mateo, CA 94403",san mateo county,California
184,"1200 Broadway Plaza Walnut Creek, CA 94596",contra costa county,California
185,"550 Stanford Shopping Center Palo Alto, CA 94304",santa clara county,California
186,"1870 Redwood Highway Corte Madera, CA 94925",marin county,California
187,"2400 Forest Avenue San Jose, CA 95128",santa clara county,California
188,"865 Market Street San Francisco, CA 94103",san francisco city and county,California
189,"152 Serramonte Center Daly City, CA 94015",san mateo county,California
190,"1285 Marina Boulevard San Leandro, CA 94577",alameda county,California
191,"1600 Saratoga Avenue San Jose, CA 95129",santa clara county,California
192,"1600 Ethan Way, Sacramento, CA 95825",sacramento county,California
193,"1131 Galleria Boulevard Roseville, CA 95678",placer county,California
194,"3839 Emery Street Emeryville, CA 94608",alameda county,California
195,"1196 Galleria Boulevard Roseville, CA 95678",placer county,California
196,"7883 N Blackstone Avenue Fresno, CA 93720",fresno county,California
197,"1771 E Bayshore Avenue East Palo Alto, CA 94303",san mateo county,California
198,"555 9th Street San Francisco, CA 94103",san francisco city and county,California
199,"901 Market Street San Francisco, CA 94103",san francisco city and county,California
200,"925 Blossom Hill Road San Jose, CA 95123",santa clara county,California
201,"5300 Dublin Boulevard Dublin, CA 94568",alameda county,California
202,"4995 S Virginia Street Reno, NV 89502",washoe county,Nevada
203,"43706 Christy Street Fremont, CA 94538",alameda county,California
204,"703 Contra Costa Boulevard Pleasant Hill, CA 94523",contra costa county,California
205,"440 Palladio Parkway Folsom, CA 95630",sacramento county,California
206,"180 Coddingtown Center Santa Rosa, CA 95401",sonoma county,California
207,"212 Vintage Way Novato, CA 94945",marin county,California
208,"1621 E Monte Vista Ave, Vacaville, CA 95688 707",solano county,California
209,"31st & 6th 865 Avenue of the Americas New York, NY 10001",new york county,New York
210,"9643 Destiny USA Drive Syracuse, NY 13204",onondaga county,New York
211,"15 Richmond Terrace, Staten Island, NY 10301",richmond county,New York
212,"550 Gateway Drive, Brooklyn, NY 11239",kings county,New York
213,"350 Walt Whitman Road Huntington Station, N11746",suffolk county,New York
214,"60 E 14th Street New York, NY 10003",new york county,New York
215,"3 City Place White Plains, NY 10601",westchester county,New York
216,"501 Garden State Plaza Paramus, NJ 07652",bergen county,New Jersey
217,"449 Menlo Park Drive Edison, NJ 08837",middlesex county,New Jersey
218,"135 Westchester Avenue White Plains, NY 10601",westchester county,New York
219,"630 Old Country Road Garden City, NY 11530",nassau county,New York
220,"600 Westfarms Mall Farmington, CT 06032",hartford county,Connecticut
221,"1200 Morris Turnpike Short Hills, NJ 07078",essex county,New Jersey
222,"1040 Old Country Road Garden City, NY 11590",nassau county,New York
223,"290 Speen Street Natick, MA 01760",middlesex county,Massachusetts
224,"400 Bald Hill Road Warwick, RI 02886",kent county,Rhode Island
225,"250 Granite Street, Braintree, MA 02184",norfolk county,Massachusetts
226,"75 Middlesex Turnpike Burlington, MA 01803",middlesex county,Massachusetts
227,"210 Andover Street Peabody, MA 01960",essex county,Massachusetts
228,"505 Fulton Street Brooklyn, NY 11201",kings county,New York
229,"100 N Water Street, Norwalk, CT 06854",fairfield county,Connecticut
230,"510 Bergen Town Center Paramus, NJ 07652",bergen county,New Jersey
231,"231 University Avenue Westwood, MA 02090",norfolk county,Massachusetts
232,"50 Independence Way Danvers, MA 01923",essex county,Massachusetts
233,"43 Middlesex Turnpike Burlington, MA 01803",middlesex county,Massachusetts
234,"2500 W Moreland Road Willow Grove, PA 19090",montgomery county,Pennsylvania
235,"1600 S East Road Farmington, CT 06032",davis county,Connecticut
236,"1 Worcester Road Framingham, MA 01701",middlesex county,Massachusetts
237,"497 Boylston Street Boston, MA 02116",suffolk county,Massachusetts
238,"1400 Northern Boulevard Manhasset, NY 11030",nassau county,New York
239,"70 Worcester Providence Turnpike Millbury, MA 01527",worcester county,Massachusetts
240,"1700 Chestnut Street Philadelphia, PA 19103",philadelphia county,Pennsylvania
241,"200 Running Hill Road, South Portland, ME 04106",cumberland county,Maine
242,"200 Grossman Drive, Braintree, MA 02184",norfolk county,Massachusetts
243,"1579 Niagara Falls Boulevard Amherst, NY 14228",erie county,New York
244,"3371 US Highway 1 Lawrenceville, NJ 08648",mercer county,New Jersey
245,"224B Colonie Center Albany, NY 12205",albany county,New York
246,"1600 S Milliken Avenue Ontario, CA 91761",san bernardino county,California
247,"8075 Tysons Corner Center McLean, VA 22102",fairfax county,Virginia
248,"1400 S Hayes Street Arlington, VA 22202",arlington county,Virginia
249,"700 Fairmount Avenue Towson, MD 21286",baltimore county,Maryland
250,"7111 Democracy Boulevard Bethesda, MD 20817",montgomery county,Maryland
